jar,treatment,count,round,aphids
NN-1,NN,1,1,22
NN-2,NN,1,1,23
NN-3,NN,1,1,25
NN-4,NN,1,1,30
NN-5,NN,1,1,12
NN-6,NN,1,1,10
NF-1,NF,1,1,31
NF-2,NF,1,1,30
NF-3,NF,1,1,37
NF-4,NF,1,1,34
NF-6,NF,1,1,23
RN-1,RN,1,1,10
RN-2,RN,1,1,11
RN-3,RN,1,1,36
RN-4,RN,1,1,28
RN-5,RN,1,1,17
RN-6,RN,1,1,3
RF-1,RF,1,1,9
RF-2,RF,1,1,7
RF-3,RF,1,1,20
RF-4,RF,1,1,2
RF-5,RF,1,1,15
RF-6,RF,1,1,15
NN-1,NN,2,1,37
NN-2,NN,2,1,40
NN-3,NN,2,1,70
NN-4,NN,2,1,131
NN-5,NN,2,1,27
NN-6,NN,2,1,12
NF-1,NF,2,1,126
NF-2,NF,2,1,170
NF-3,NF,2,1,127
NF-4,NF,2,1,131
NF-6,NF,2,1,88
RN-1,RN,2,1,8
RN-2,RN,2,1,9
RN-3,RN,2,1,156
RN-4,RN,2,1,27
RN-5,RN,2,1,32
RN-6,RN,2,1,1
RF- 1,RF,2,1,15
RF- 2,RF,2,1,5
RF- 3,RF,2,1,43
RF- 4,RF,2,1,2
RF- 5,RF,2,1,22
RF- 6,RF,2,1,27
NN-7,NN,1,2,33
NN-8,NN,1,2,32
NN-9,NN,1,2,31
NN-10,NN,1,2,30
NF-7,NF,1,2,41
NF-8,NF,1,2,36
NF-9,NF,1,2,32
NF-10,NF,1,2,51
RN-7,RN,1,2,13
RN-8,RN,1,2,42
RN-9,RN,1,2,45
RN-10,RN,1,2,39
RF-7,RF,1,2,27
RF-8,RF,1,2,22
RF-9,RF,1,2,22
RF-10,RF,1,2,37
NN-7,NN,2,2,155
NN-8,NN,2,2,171
NN-9,NN,2,2,252
NN-10,NN,2,2,141
NF-7,NF,2,2,247
NF-8,NF,2,2,253
NF-9,NF,2,2,197
NF-10,NF,2,2,213
RN-8,RN,2,2,127
RN-9,RN,2,2,173
RN-10,RN,2,2,148
RF-7,RF,2,2,149
RF-8,RF,2,2,154
RF-9,RF,2,2,98
RF-10,RF,2,2,192